backbone.layers.4.9.depthwise_conv.bn.bias	(816,)
backbone.layers.4.9.depthwise_conv.bn.running_mean	(816,)
backbone.layers.4.9.depthwise_conv.bn.running_var	(816,)
backbone.layers.4.9.depthwise_conv.bn.num_batches_tracked	()
backbone.layers.4.9.se.conv1.conv.weight	(34, 816, 1, 1)
backbone.layers.4.9.se.conv1.conv.bias	(34,)
backbone.layers.4.9.se.conv2.conv.weight	(816, 34, 1, 1)
backbone.layers.4.9.se.conv2.conv.bias	(816,)
backbone.layers.4.9.linear_conv.conv.weight	(136, 816, 1, 1)
backbone.layers.4.9.linear_conv.bn.weight	(136,)
backbone.layers.4.9.linear_conv.bn.bias	(136,)
backbone.layers.4.9.linear_conv.bn.running_mean	(136,)
backbone.layers.4.9.linear_conv.bn.running_var	(136,)
backbone.layers.4.9.linear_conv.bn.num_batches_tracked	()
backbone.layers.5.0.expand_conv.conv.weight	(816, 136, 1, 1)
backbone.layers.5.0.expand_conv.bn.weight	(816,)
backbone.layers.5.0.expand_conv.bn.bias	(816,)
backbone.layers.5.0.expand_conv.bn.running_mean	(816,)
backbone.layers.5.0.expand_conv.bn.running_var	(816,)
backbone.layers.5.0.expand_conv.bn.num_batches_tracked	()
backbone.layers.5.0.depthwise_conv.conv.weight	(816, 1, 5, 5)
backbone.layers.5.0.depthwise_conv.bn.weight	(816,)
backbone.layers.5.0.depthwise_conv.bn.bias	(816,)
backbone.layers.5.0.depthwise_conv.bn.running_mean	(816,)
backbone.layers.5.0.depthwise_conv.bn.running_var	(816,)
backbone.layers.5.0.depthwise_conv.bn.num_batches_tracked	()
backbone.layers.5.0.se.conv1.conv.weight	(34, 816, 1, 1)
backbone.layers.5.0.se.conv1.conv.bias	(34,)
backbone.layers.5.0.se.conv2.conv.weight	(816, 34, 1, 1)
backbone.layers.5.0.se.conv2.conv.bias	(816,)
backbone.layers.5.0.linear_conv.conv.weight	(232, 816, 1, 1)
backbone.layers.5.0.linear_conv.bn.weight	(232,)
backbone.layers.5.0.linear_conv.bn.bias	(232,)
backbone.layers.5.0.linear_conv.bn.running_mean	(232,)
backbone.layers.5.0.linear_conv.bn.running_var	(232,)
backbone.layers.5.0.linear_conv.bn.num_batches_tracked	()
backbone.layers.5.1.expand_conv.conv.weight	(1392, 232, 1, 1)
backbone.layers.5.1.expand_conv.bn.weight	(1392,)
backbone.layers.5.1.expand_conv.bn.bias	(1392,)
backbone.layers.5.1.expand_conv.bn.running_mean	(1392,)
backbone.layers.5.1.expand_conv.bn.running_var	(1392,)
backbone.layers.5.1.expand_conv.bn.num_batches_tracked	()
backbone.layers.5.1.depthwise_conv.conv.weight	(1392, 1, 5, 5)
backbone.layers.5.1.depthwise_conv.bn.weight	(1392,)
