backbone.backbone.features_conv4_11.c3x3_b.bn.bias	(640,)
backbone.backbone.features_conv4_11.c3x3_b.bn.running_mean	(640,)
backbone.backbone.features_conv4_11.c3x3_b.bn.running_var	(640,)
backbone.backbone.features_conv4_11.c3x3_b.bn.num_batches_tracked	()
backbone.backbone.features_conv4_11.c3x3_b.conv.weight	(640, 16, 3, 3)
backbone.backbone.features_conv4_11.c1x1_c.bn.weight	(640,)
backbone.backbone.features_conv4_11.c1x1_c.bn.bias	(640,)
backbone.backbone.features_conv4_11.c1x1_c.bn.running_mean	(640,)
backbone.backbone.features_conv4_11.c1x1_c.bn.running_var	(640,)
backbone.backbone.features_conv4_11.c1x1_c.bn.num_batches_tracked	()
